0,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean
2020-12-02 13:00:00,0.0,1144.0,0.0,0.0,0.0,0.0,379.0,1248.0,214.0,0.0,0.0,0.0,248.75
2020-12-02 13:10:00,0.0,649.6,0.0,0.0,0.0,0.0,244.0,1213.0,308.6,0.0,0.0,0.0,201.26666666666665
2020-12-02 13:20:00,0.0,602.75,0.0,0.0,0.0,0.0,120.0,651.75,220.5,0.0,0.0,0.0,132.91666666666666
2020-12-02 13:30:00,0.0,656.0,0.0,0.0,0.0,0.0,393.5,460.75,198.0,0.0,0.0,0.0,142.35416666666666
2020-12-02 13:40:00,0.0,581.2,0.0,0.0,0.0,0.0,61.75,429.5,222.2,0.0,0.0,0.0,107.8875
2020-12-02 13:50:00,0.0,618.5,0.0,0.0,0.0,0.0,352.75,624.4,219.0,0.0,0.0,0.0,151.22083333333333
2020-12-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,383.6,717.0,222.5,0.0,0.0,0.0,110.25833333333333
2020-12-02 14:10:00,0.0,475.8,0.0,0.0,0.0,0.0,523.0,0.0,193.75,0.0,0.0,0.0,99.37916666666666
2020-12-02 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,204.0,0.0,0.0,0.0,62.333333333333336
2020-12-02 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,290.6,0.0,226.5,0.0,0.0,0.0,43.09166666666667
2020-12-02 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,221.25,0.0,0.0,0.0,62.270833333333336
2020-12-02 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,63.333333333333336
2020-12-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,548.0,0.0,0.0,0.0,79.25
2020-12-02 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,320.4,0.0,564.0,0.0,0.0,0.0,73.7
2020-12-02 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,391.75,0.0,225.0,0.0,0.0,0.0,51.395833333333336
2020-12-02 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,41.5
2020-12-02 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,320.2,0.0,265.75,0.0,0.0,0.0,48.82916666666667
2020-12-02 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0.0,383.75,0.0,0.0,0.0,63.395833333333336
2020-12-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.8,0.0,0.0,0.0,25.816666666666666
2020-12-02 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,328.4,0.0,289.25,0.0,0.0,0.0,51.47083333333333
2020-12-02 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,390.5,0.0,497.75,0.0,0.0,0.0,74.02083333333333
2020-12-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,22.5
2020-12-02 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,400.5,0.0,674.75,0.0,0.0,0.0,89.60416666666667
2020-12-02 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,777.5,0.0,0.0,0.0,75.54166666666667
2020-12-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,239.75,0.0,542.8,0.0,0.0,0.0,65.21249999999999
